A
A.B. =(=able body) | potocznie starszy marynarz
non-productive | nieproduktywny
non-removable (non-‘remuwebel) | nieusuwalny (sta³y) 
non-return valve=(=NRV) | zawór zwrotny 
non-reversible | nieodwracalny 
non-slip coating | wyk³adzina bezpoœlizgowa
non-sparking tool | narz¹dzie nieiskrz¹ce	?
non-variant | niezmienny
noon (nun) | po³udnie (godz. 12.00)
no power (nou ‘pale) | brak mocy (nie ma mocy)
no reply (nou ri’plaj) | brak odpowiedzi
north | pó³noc (kierunek)
northeast | pó³noco-wschód
no signal (nou ‘signl) | brak sygna³u
notch effect | dzia³anie karbu
notch | wyciêcie, karb, wr¹b
noxious gas (‘nokszes gez) | gaz truj¹cy, gaz szkodliwy 
noxious vapour | opary szkodliwe
nozzel velocity | prêdkoœæ wyp³ywu p³uczki z dysz œwidra 
nozzle=(= jet) | dysza (np. œwidra itp), koñcówka wylotowa 
NU=(=non upset) | nie spêczony (np. przewód, syfonówki) 
nuli (na!) | zero, wartoœæ 2erowa
nullify=(=cancel, annul, undo, invalidate, rescind) | uniewa¿niæ, anulowaæ
number (‘nambe) | liczba, numer, numerowaæ
number of lines (‘nambe ow lajnz) | liczba strun olinowania
nut (nat) | nakrêtka, /orzech/
nut lock (nat lok) | przeciwnakrêtka
o
O.D.=( | outside diameter) (aut’sajd ‘dajamite) | œrednica zewnêtrzna 
oakum | czyœciwo, paku³y 
oar | wios³o 
oblate | sp³aszczony
obligatory (o’bligatri) | obowi¹zuj¹cy, obowi¹zkowy 
oblique | ukoœny, skoœny 
oblong | pod³u¿ny 
observable | dostrzegalny
obsolete=(=outdated) | przestarza³y, wychodz¹cy z u¿ycia
obstacle=(=obstruction) | przeszkoda
obstruct (ob’strakt)-przeszkadzaæ, staæ na przeszkodzie
obtain (ob’tejn) | otrzymaæ, uzyskaæ (np. wynik)
obturate | zamykaæ (np. otwór wiertniczy, odwiert), uszczelniaæ
obvious (‘obwijes) | oczywisty


occasional survey | przegl¹d doraŸny
occupation (okju’pejszn)*-zajêcie. zawód, 'okupacja
occupational hygiene | higiena pracy (zawodowa)
occurrence | wystêpowanie (zjawisko np. przyp³yw p³uczki itp.)
ocean current (‘ouszn ‘karent) | pr¹d morski
odd figure | liczba nieparzysta
odd jobs | roboty pomocnicze
odd-work | praca w godzinach nadliczbowych, praca dodatkowa
odourless-(=odour-free) | bezwonny. bez zapachu
odour threshold | próg zapachu (np. siarkowodoru)
off-duty shift | zmiana wolna od s³u¿by
office (‘ofis) | biuro, urz¹d, gabinet
office hours | godziny urzêdowania
officer (‘ofise) | urzêdnik
off-position (of-po’zyszn) | wy³¹cznik w pozycji wy³¹czonej 
off-schedule (of-‘szedjul) | poza planem, pozaplanowy 
offset | przesuniêcie (poprzeczne), wygiêcie (np. rury), /równowa¿yæ/ 
offset l>it-(=eccentric bit) | œwider mimoœrodowy
offset weel | odwiert w pobli¿u drugiego odwiertu, /odwiert konturuj¹cy z³o¿e/
offshore (‘ofszo) | poza l¹dem, na morzu, zabrze¿ny
offshore construction (‘ofszo kon’strakszn) | instalacje morskie
offshore drilling (‘ofszo ‘dryling) | wiercenia przybrze¿ne {potocznie morskie)
offshore instalation manager | kierownik platformy (szczególnie dot. eksploatacyjnej)
offshore platform (‘ofszo ‘pletfom) | platforma wiertnicza
offshore rig (‘ofszo ryg) | wiertnica morska
offshore well (‘ofszo ³el) | otwór wiercony na morzu, odwiert morski 
off-the-record | nieoficjalny
oil (ojl) | olej, /potocznie ropa naftowa/, smarowaæ, oliwiæ 
oil accumulation=(=oil deposit) | z³o¿e ropy naftowej 
oil base mud (ojl bejs mad) | p³uczka olejowa 
oil bearing | ropononoœny (pok³ad)
oil company | firma naftowa (przedsiêbiorstwo naftowe | wydobywcze ropy/ gazu) 
oil cup=(=oiler) | smarowniczka, olej arka
oil drilling rig=(=drilling rig) | «rz¹dzenie wiertnicze (normainoœrednicowe) 
oil field (ojl fild) | pole naftowe 
oil gun | smarownica t³okowa
oil horizon-(=oil reservoir, oil zone) | horyzont roponoœny, poziom roponoœny 
oil in place | ropa zawarta w z³o¿u
oil indications-(=oil shows) | œlady ropy, objawy ropy (np. na p³uczce, rdzeniu)
oil mining | górnictwo naftowe
oil paint-(-paint) | farba olejna
oil pipeline | ropoci¹g, ruroci¹g naftowy
oil pollution | zanieczyszczenie rop¹ lub olejami
oil pool=(-oil reservoir) | z³o¿e ropy
oil rock | ska³a roponoœna
oil sand | piasek roponoœny
oil shale | ³upek naftowy (roponoœny)
oil spili | ropa rozlana na morzu (plama ropy)


oil spot | wanna olejowa (do uwolnienia zestawu wiertniczego) 
oil tanker (ojl ‘tenke) | statek zbiornikowiec (ropy)
oil trap | oddzielacz oleju, ropy, /kolektor ropny, pu³apka geologiczna ropy/
oil well (ojl lei) | otwór naftowy, odwiert ropny, szyb naftowy
oil zone (ojl zoun) | strefa roponoœna
oil-field development | eksploatacja pola naftowego
oil-well reconditioning | obróbka odwiertu naftowego, rekonstrukcja
oil-well shooting | torpedowanie odwiertu naftowego
oil-well stimulation | intensyfikacja wydobycia ropy
old age pension | emerytura
Oligocene | oligocen
on board | „na burcie”(na jednostce), na pok³adzie 
on bottom (on ‘botm) | na dnie
on bottom time | czas mechanicznego wiercenia (rzeczywisty czas pracy œwidra) 
on business | s³u¿bowo
on call=(=on demand, on request)-na ¿¹danie,na polecenie, na proœbê 
on duty (on djuti) | w czasie pe³nienia obowi¹zków, na s³u¿bie 
one cycle (lan sajki) | jeden pe³ny obieg (np. p³uczki) 
on schedule (on szedjul) | planowo, zgodnie z harmonogramem 
on site=(=on the spot) | na miejscu (wykonywania prac) 
on stream maintenance | remont urz¹dzenia bez zastawiania 
on-position=(=on-state)  | wy³¹cznik w pozycji w³¹czonej (po³o¿enie robocze) 
onshore (‘onszo) | na sta³ym l¹dzie (nie na morzu), l¹dowy, baza l¹dowa 
onshore drilling (‘onszo ‘dryling) | wiercenie na l¹dzie
onshore wind | wiatr od morza 	 offshore wind | wiatr od l¹du
oolite | oolit
open (‘oupn) | otwarty, otworzyæ, otwieraæ
OPEC=(=Organization of Petroleum Exporting Countries) | Organizacja
Krajów (Pañstw) Eksporterów Ropy Naftowej
open area (‘oupn ‘erija) | teren otwarty
open boat (‘oupn bout) | ³ódŸ otwarta (bezpok³adowa)
open sea (‘oupn si) | pe³ne morce, otwarte morze
open-hole (‘oupn houl)-(-OH) | nieorurowany odcinek otworu wiertniczego 
opening | otwór, otwarcie
operating pressure (‘operejting ‘presze) | ciœnienie robocze
operating income-(=operating profit) | dochody z eksploatacji (np. ropy, gazu itp.) 
operation | dzia³anie, praca, operacja technologiczna, dzia³anie, sterowanie 
operator | operator maszyny, /kompania naftowa prowadz¹ca prace, inwestor/ 
opposite (opozyt) | przeciwny, przeciwleg³y
opposite driller's side-(-ODS) | przeciwna strona od wiertacza (do oznakowañ) 
option (‘opszn) | prawo wyboru, opcja, wariant 
order (‘ode) | /porz¹dkowaæ/, /zamawiaæ/, /zlecaæ/
order (‘ode) | zamówienie, polecenie, kolejnoœæ, rz¹d wielkoœci, nastêpstwo
order book (ode buk) | ksiêga zamówieñ
order of accuracy | stopieñ dok³adnoœci
ordinary (‘odineri) | zwyk³y, zwyczajny, pospolity
Ordovician | ordowik
ore bed=(=ore deposit) | pok³ad rudy, pok³ad rudonoœny


organie rock | ska³a organiczna 
organization chart | schemat organizacyjny
orienting sub | ³¹cznik ("krzywy") ustawiony w ¿¹danym kierunku 
orifice (‘oryfys) | otwór, wylot, /kryza/
o-ring=(=O-ring seal) | pierœcieñ samouszczelniaj¹cy o przekrój u okr¹g³ym 
orogen=(=orogene, orogenic belt) | górotwór, orogen 
orogenic belt=(=fo!d belt, orogen(e), rock mass) | górotwór 
outdated | przestarza³y 
outer (‘aute) | zewnêtrzny
outer diameter=(=outside diameter, O.O.) | œrednica zewnêtrzna
out of action (aut ow ‘ekszn) | nieczynny, wy³¹czony
out of adjustment | rozregulowany
out of balance | niezrównowa¿ony
out of center (aut ow ‘sente) | niecentryczny
out of control | niekontrolowany, poza kontrol¹
out of door | pod go³ym niebem
out of line | niewspó³osiowy, /niezgodny z przyjêt¹ praktyk¹/ 
out of order | zepsuty, nie dzia³aj¹cy 
out of parallel | nierównoleg³y 
out of plumb | odchylony od pionu
out of position | przemieszczony, niew³aœciwie umieszczony
out of proportion | nieproporcjonalny
out of repair | nie nadaj¹cy siê do naprawy
out of service=(=out of use) | wycofany z u¿ytku
out of size (aut ow sajz) | o niew³aœciwych wymiarach
outfit | zestaw narzêdzi, sprzêt, wyposa¿enie, /wystrój/
outflow (‘autflou) | wyp³yw
outlet | otwór spustowy, spust, wylot, ujœcie, /rynek zbytu/ 
outlet pipe | rura odprowadzaj¹ca, rura spustowa 
outpost well=(=deIineation well) | otwór konturuj¹cy z³o¿e 
output | wydajnoœæ, uzysk, wydobycie, moc silnika, /wyjœcie/ 
output power | moc wyjœciowa silnika
outside | zewn¹trz	 inside | wewn¹trz
outwards | na zewn¹trz 
oval | owalny
over board=(=overside) | za burt¹
over fIow=(=overflow)(ouwe flou) | przelewaæ siê, przelew, nadmiar, przepe³nienie
overall cost | koszt ca³kowity
overall dimensions | wymiary gabarytowe
overall error | b³¹d ca³kowity
overall length | d³ugoœæ ca³kowita
overalls={=coveralls) (ouw ero l/ca werol) | kombinezon, ubranie robocze
overbalance | przewa¿yæ
overburden | przewa¿aæ, /nadk³ad/
overburden gradient | gradient ciœnienia nadk³adu
overburden pressure | ciœnienie górotworu
overfill | przepe³niæ (zape³niæ ponad miarê)
overhaul | remont, przegl¹d, przeprowadzaæ remont


overhead tank | zbiornik naziemny
overlap (‘ouwelep) | zachodziæ na siebie, zazêbiaæ siê (za siebie)
overlap | zak³adka (np. jmera), .'zak³adka obowi¹zków | przekazanie zmiany/
overlay | pokrycie, czapa z³o¿a, nak³adka
overload (‘ouweioud) | przeci¹¿enie
overpressure | nadciœnienie
overpull (‘ouwepul) | zaci¹ganie w otworze, przeci¹¿enie wiertnicy 
overpull depth (‘ouwepul dept) | miejsce (g³êbokoœæ) w której zaci¹ga 
overrate | przeceniaæ, oceniaæ zbyt wysoko
overseas | za morzem, potocznie za granic¹ (poza w³asnym krajem)
overshot (‘ouweszot) | korona ratunkowa
oversize | nadwymiar, nadwymiarowy. za du¿y
overtime | nadgodziny, godziny nadliczbowe pracy
overturn | przewróciæ, wywróciæ
overview (‘ouwewju) | widok z góry
overweight | nadwy¿ka wagi/ ciê¿aru (np. przewodu), /nadwaga/ 
ov£Twrap=(=wrap) | owój, owiniêcie (np. liny na bêbnie) 
owner | w³aœciciel, posiadacz 
oxygen (toksyd¿eii)=(=0)~ tlen
P
packer (‘peke) | paker, uszczelniacz, /pakówacz/
annular packer | paker pierœcieniowy
drillable packer | paker z mo¿liwoœci¹ zwiercania
hydraulic set packer | paker zapinany hydraulicznie
inflatable packer | paker „nadmuchiwany” | zapinany w OH poza rurami
liner hanger packer | paker pierœcieniowy rur traconych
production packer | paker produkcyjny
retrievable packer | paker odpinalny
permanent packer | paker sta³y (nieodpinalny)
packer seat | gniazdo pakera
packing box | d³awnica, komora d³awikowa
packing ring | pierœcieñ uszczelniaj¹cy
packing=(=seal, stuffing) | uszczelnienie, szczeliwo, uszczelka, /opakowanie/ 
pad | miêkka podk³adka, poduszka amortyzuj¹ca 
padlock (‘padlok) | k³ódka
paint (peint)=(=paintwork) | farba, malowaæ farb¹
paintbrush | pêdzel do malowania
painting (‘peinting) | malowanie
paint-stripper | zmywacz do farby
Paleocene | pa³eocen
paleontology | paleontologia
Paleozoic | paleozoik
panel board | deska rozdzielcza
panel | tablica, p³yta, tafla
parallel (‘paralel) | równoleg³y, linia równoleg³a, /równole¿nik/ 
parallel connection | po³¹czenie (elektryczne) równoleg³e 
parallel of latitude | równole¿nik 
parasitic error | b³¹d gruby


parent rock | ska³a macierzysta
parrafin cutter | skrobak do usuwania parafiny
parrafin deposit | osad parafinowy
parrafin-base oil | ropa parafinowa
part | czêœæ, /udzia³/, oddzielaæ, rozchylaæ siê
part list | spis czêœci (np. w przesy³ce, w dostawie)
part number=(=:P/N) | numer katalogowy czêœci (zamiennej)
parted casings | urwane w otworze rury ok³adzinowe
partial | czêœciowy, partialny, cz¹stkowy
participate | uczestniczyæ, braæ udzia³
parting line | linia podzia³u
parting plane | p³aszczyzna podzia³u
partition wall | œciana dzia³owa
partnership | wspó³udzia³, spó³ka
parts kit | zestaw czêœci zapasowych
parts per nrilion=(=ppm) | czêœci na milion (np. gazu w powietrzu)
pass (pas) | przechodziæ, przepuszczaæ, /mijaæ na drodze/
pass (pas) | przelot, przepust, przejœcie, /przepustka/, /przebieg/, /kana³/
pass a test | przejœæ próbê (z wynikiem pozytywnym)
pass an examination | zdaæ egzamin
pass to account | przekazaæ na konto
pass valve (pas walw) | zawór przepustowy
passenger ship | statek pasa¿erski
passport (‘paspot) | paszport, /przepustka/, /klucz/
patch hoard | tablica po³¹czeñ elektrycznych
patch cord | elektryczny sznur po³¹czeniowy
patch | ³ata, za³ataæ, /plama/, /wstawka do programu/, /po³¹czenie sznurem el./ 
pattern | schemat, wzór, szablon, /rozmieszczenie/ 
pay eye | ucho do podnoszenia
pay | p³aca, wynagrodzenie, /uszczelniaæ lepikiem pok³ad statku/
pay roll (pej roul) | lista p³ac
pay slip (pej slyp) | karta p³acy
pay-bed=(-pay area) | pok³ad produkcyjny
pay-day | dzieñ wyp³aty
payment | wyp³ata, zaplata
Pb=(=lead) (led) | o³ów
PBTD=(=plug back true depth) | aktualna g³êbokoœæ korka cementowego (pierwotna/ po 
zwierceniu) lub innego korka likwidacyjnego | aktualny spód otworu 
p.o.d.=(=pay on delivery) | p³atne przy odbiorze
PCR (pi si a)=(=power control room) (‘pale ken’troi rum) | g³ówna sterownia 
pea stone | drobny otoczak, ¿wir gruby
peak | naj wy¿szy punkt wykresu, maksimum krzywej, wierzcho³ek fali, szczyt 
peak pressure | ciœnienie szczytowe (maksymalne) 
peat | torf
pebble(‘pebl) | kamieñ (drobny), otoczak (drobny), /kryszta³ górski/ 
pedestal | podstawa urz¹dzenia, stojak, cokó³, piedesta³ 
pedestal crane | dŸwig s³upowy 
peep hole | wziernik, wizjer, judasz


peg | szpilka, sztyft, palik, ko³ek drewniany, /wieszak, wieszaæ/, /klameika/ 
pen recorder | urz¹dzenie rejestruj¹ce pisakowe 
penalty (‘penalti) | grzywna, kara
pendulum (‘pendjulem) | wahad³o, /regulator odœrodkowy sprê¿ynowy/
pendulum assembly (‘pendjulem e’sembli) | zestaw (wiertniczy-bha) wahad³owy
pendulum effect (‘pendjulem i’fekt) | efekt wahad³a (prawo Lubiñskiego)
penetrant | penetrant (w defektoskopii), œrodek przenikaj¹cy
penetration (pene’trejszn) | przenikanie, wnikanie, penetracja
penetration rate (pene’trejszn rejt)=(= ROP) | prêdkoœæ mechaniczna wiercenia
per hour | na godzinê (np. uwiert w metrach)
per man=(=per head) | na osobê (np. zarobki)
per mille | promil
per tour | na zmianê
per unit (pe ‘junit) | na jednostkê
percentage recovery | odzysk (uzysk) procentowy
perceptible | dostrzegalny, wyczuwalny
percussion drilling | wiercenie udarowe
perfect | doskona³y, idealny, udoskonaliæ, doskonaliæ
perforate underbalanced | perforowaæ przy obni¿onym ciœnieniu w odwiercie 
perforating gun (‘peforejting gan) | przyrz¹d uzbrojony w ³adunki do perforacji 
perforation (pefo’rejszn) | perforacja
perforation interval (pefo’rejszn ‘intewal) | interwa³ perforacji 
perform work | wykonaæ pracê
performance | wykonanie, dokonanie, osi¹gi, efekty, charakterystyka robocza 
period of pitch=(=period of rool) | okres wzd³u¿nego ko³ysania statku 
periodic inspection | przegl¹d okresowy 
peripheral speed | prêdkoœæ obwodowa 
permanent | trwa³y, sta³y, ci¹g³y
permanent elongation load | granica sprê¿ystoœci przy rozci¹ganiu
permanent coupling | sprzêg³o sta³e
permanent elongation | wyd³u¿enie trwa³e
permeability | przepuszczalnoœæ, przenikliwoœæ
permeability coefficient | wspó³czynnik przepuszczalnoœci
permeable (‘permiebl) | przepuszczalny
permeable layer | pok³ad (warstwa) przepuszczalna
Permian | perm
permissible-(=acceptable) | dopuszczalny 
permission (pe’myszn) | pozwolenie, zezwolenie 
permit (‘permt) | zezwolenie, licencja, przepustka 
perpendicular | prostopad³y, linia prostopad³a 
personal data | personalia, dane osobowe 
personal protection | ochrona osobista (bhp) 
personnel | personel, obsada osobowa
personnel basket=(=personel net) | kosz do transportowania ludzi 
personnel department | dzia³ kadr, biuro personalne 
personnel record | akta personalne
perusal-(-visual inspection) | oglêdziny, badanie wzrokowe 
pervious | przepuszczalny


petrography | petrografia 
petrol=(=gas(oline))~ benzyna 
petrol engine | silnik benzynowy
petrol station=(=filling station, gas station) | stacja benzynowa 
petroleum=(=crude oil, oil) | ropa naftowa
petroleum engineering | wiertnictwo naftowe, in¿ynieria petrochemiczna
petroleum engineer | in¿ynier ds. eksploatacji z³ó¿ ropy i gazu (in¿. eksploatator)
petroleum gas (pi’trouljem gez)=(=natural gas) | gaz ziemny
petroleum industry | przemys³ naftowy, górnictwo naftowe
petroleum products | produkty naftowe, przetwory naftowe
petroliferous | roponoœny
petrology | petrologia
petty cash | pieni¹dze drobne, gotówka podrêczna 
pH value (pi-ejcz ‘walju) | wartoœæ pH 
phase (fejz) | faza (np. robót), faza pr¹dowa 
pH-index (pi-ejcz ‘yndeks) | wskaŸnik ph 
phosphorus=(=P) | fosfor
photo=(=photograph(y)) | zdj êcie fotograficzne, fotografowaæ 
physical properties | w³asnoœci fizyczne 
physician (fy’zyszn)=(=doctor) | lekarz 
pick=(=pickaxe) | kilof, oskard, kopaæ kilofem
pick up | podnosiæ, zbieraæ, wci¹gaæ (np. sprzêt do szybu), podci¹gaæ przewód
pick up a single | wci¹gaæ rury ok³adzinowe lub przewód do wie¿y
pictorial | obrazowy, pogl¹dowy (np. schemat)
piece | czêœæ, element, kawa³ek, ³¹czyæ elementy w ca³oœæ
piece by piece | po jednym kawa³ku, pojedynczo (np. za³adowywaæ)
pierce | przedziurawiaæ, przebijaæ otwór
pig(pyg) | potocznie skrobak do czyszczenia rur, /Œwinia/, /surówka hutnicza/
pile hammer | m³ot kafarowy, baba kafara
pile(pail) | pal, /stos, sterta/
pile-driver | kafar do wbijania pali
piling | palowanie, /uk³adanie w stosy/
pili tank | ma³y zbiornik na p³uczkê ³ub chemikalia
pillar(‘pyla) | filar
pilot | prowadnik, czêœæ prowadz¹ca, /pilot/, prowadziæ, pilotowaæ
pilot boat | ³ódŸ pilotowa
pilot ladder | sztormtrap
pilot vessel | pilotówka, statek pilotowy
pin (pin) | czop, /sworzeñ/, /ko³ek, zatyczka/, /szpilka/, /wtyk elektryczny/ 
pin end | rura/ przewód zakoñczone czopem (od strony czopa) 
pin punch | wybijak
PIN=(=personal identification number) | numer u¿ytkownika 
pincers=(=pincers pliers) | obc¹¿ki, obcêgi 
pinch nut | pizeciwnakrêtka
pinch | œciœniêcie, zaciœniêcie, /wyklinowanie pok³adu geologicznego/ 
pinching out | wyklinowanie pok³adu geologicznego 
pinhole | otwór na ko³ek (zabezpieczaj¹cy) 
pins (pyns) | bolce (np. do maszta, podbudowy itp.)


pioneer well | pierwszy otwór na /³o¿u 
pipe (pajp) | rura, /fajka/
pipe basket | pojemnik do magazynowania i transportu przewodu wiertniczego
pipe bearer | podpora ruroci¹gu
pipe bend=(=pipe elbow) | kolano rury
pipe cap=(=pipe closer) | zaœlepka rury
pipe carrier | statek do przewozu rur
pipe choking* zatkanie rury
pipe coil | wê¿ownica
pipe connection (pajp ke’neks/.n) | po³¹czenie rur (np. pr/.ewodu wiertniczego)
pipe coupling | po³¹czenie rurowe, z³¹czka rurowa nakrêtna
pipe cutter | obcinak (nó¿) do rur
pipe deck (pajp dek) | pok³ad rurowy statku
pipe die=(=pipe tap) | gwintownica (gwintownik) do rur
pipe dolly | wózek na rury p³uczkowe lub ok³adzinowe (na poœlizgu)
pipe eye | flaszka do wci¹gania rur iub przewodu wiertniczego do szybu
pipe flange (pajp flend¿) | ko³nierz rurowy
pipe handling system | urz¹dzenie do manipulowania rurami na platformie
pipe line (pajp ³ajn) | ruroci¹g, przewód rurowy
pipe rack (pajp rek) | rampa rurowa
pipe rams (pajp remz) | szczêki prewentera na przewód
pipe record=(=pipe tally) | wykaz (spis) rur (np. ok³adzinowych, p³uczkowych)
pipe setback | kloc pod pasy przewodu i obci¹¿ników w wie¿y
pipe stub | króciec rurowy (np. wystaj¹cy ponad kliny rurowe wiêŸby)
pipe stuck (pajp stak) | przychwycenie przewodu wiertniczego
pipe thread | gwint rurowy
pipe union | dwuz³¹czka rurowa
pipe vice=(=pipe vise) (pajp wajs) | imad³o do rur
.pipe wrench-(=pipe spanner) | klucz do rur (popularny capek)
pipe yeard | sk³ad rur
piping (‘pajping) | instalacja rurowa, przesy³anie p³ynów ruroci¹gami 
piping layout | rozmieszczenie ruroci¹gów 
piping system | uk³ad przewodów rurowych 
piston (‘piston) | t³ok
piston rod (‘piston rod) | trzon t³oka pompy p³uczkowej
piston rod clamp (‘piston rod klemp) | zaciski ³¹cz¹ce elementy trzona
piston rubber (‘piston ‘rabe) | czêœæ gumowa t³oka (guma t³oka)
piston spring (‘piston spring) | sprê¿yna zabezpieczaj¹ca t³ok na trzonie
piston stroke=(=piston travel) | skok t³oka
piston subrod (‘piston ‘sabrod) | trzon poœredni
piston-swept volume-pojemnoœæ skokowa (cylindra)
pi t=(=waste pit) | dó³ urobkowy, dó³, jama, wyrobisko, szyb, szybik
pitch | skok gwintu, podzia³ka gwintu, /smo³a, pak/, /nachylenie/
pitch stability | statecznoœæ statku
place (plejs) | miejsce, usytuowaæ, umieœciæ
plain bearing | ³o¿ysko œlizgowe
plain drill collar | obci¹¿nik g³adki (niespiralny)
plain end pipes | rury z g³adkimi koñcami


plain (plejn) | zwyk³y, g³adki, równy, prosty, nieozdobny, /równina/
plane of contact | p³aszczyzna styku
plane of saturation | poziom wód gruntowych
piane (plejn) | p³aszczyzna, p³aski, /samolot/
plank=(=bunk) | koja, prycza
planning | planowanie, projektowanie
plant | urz¹dzenie, instalacja, /fabryka, zak³ad przemys³owy/, /roœlina/
plant deck | pok³ad platformy
plastic viscosity | lepkoœæ plastyczna
plate | p³yta, gruba blacha, /p³yta geologiczna/
platform | platforma, pomost, /peron kolejowy/
Pleistocene | plejstocen 
pliable | giêtki
pliers Oplajez) | kombinerki, szczypce, kleszcze 
Pliocene | pliocen
plot(plot) | wykres, /parcela, dzia³ka/, /plan mierniczy/ 
plotter (‘plotê) | wykreœlacz krzywych
plug (plag) | korek, klocek, zaœlepka, /wtyczka elektryczna/ 
plug and abandon | wykonaæ korek likwidacyj ny i opuœciæ otwór 
plug back (plag bek) | zlikwidowaæ czêœæ otworu wiertniczego, odizolowaæ 
plug fuse | bezpiecznik topikowy
plugging | zatykanie, zaœlepianie otworu, /uszczelnianie (np. horyzontu)/
plumb (plam) | pionowy, /ciê¿arek pionu/
plumber (‘plamê) | hydraulik, instalator
plumb-line | linia pionowa, pion
plunger | nurnik, trzpieñ ruchomy
ply (plaj ) | warstwa (w materiale wielowarstwowym), /pos³ugiwaæ siê/
plywood (‘plaj³ud) | sklejka
pneumatic (nju’matyk) | pneumatyczny
pneumatic clutch (nju’matyk klacz) | sprzêg³o powietrzne
pneumatic drill (nju’matyk dry³) | wiertarka pneumatyczna
pod | z³¹cze prewentera podwodnego, /uchwyt/, /z³o¿e soczewkowate/
point (point) | punkt, /przecinek/, /ostrze, d³uto/
point corrosion | korozja punktowa
pointed | ostro zakoñczony, spiczasty
pointer | wskaŸnik, strza³ka, wskazówka
point of contact | punkt stycznoœci
point of contraflexure | punkt przegiêcia (np. prêta, rury) 
point of departure | pozycja pocz¹tkowa, punkt wyjœcia 
point of destination | punkt docelowy, pozycja przeznaczenia 
point of inflexion | punkt przegiêcia (np. linii, wykresu) 
point	of	intersection-	punkt	przeciêcia
point of reference | punkt odniesienia
point of seperation | punkt przejœcia (np. przep³ywu laminamego w turbulentny)
point of support | punkt podparcia
point of tangency | punkt stycznoœci
point of view | punki widzenia
poison (‘pojzn) | trucizna


poison antidote | odcrudka 
poison gas | gaz truj¹cy 
poisonous | truj¹cy 
Pole (poul) | Polak, Polka
pole (poul) | s³up, ¿erdŸ, tyka, /biegun fiz., mat./, /jednostka miary prêt=5,029 m/
policy (‘polysi) | polityka (np. firmy, pañstwa), zasady postêpowania, /polisa/
police (pe’ Iis) | policja
Polish (‘poulisz) | polski, jêzyk polski
Polish Standard | Polska Norma
polish | po³ysk, wykoñczenie przez polerowanie, polerowaæ, /œrodek do polerowania/
pollution (po’luszn)' zanieczyszczenie (œrodowiska)
polymer mud | p³uczka polimerowa
pontoon | ponton
pony (‘pouny) | krótki obci¹¿nik
POOH=(=pulling out of the hole)(pu!ing aut of fe hol) | wyci¹ganie (np. przewodu)
pool (pul) | basen, zbiornik otwarty, sadzawka, zbiornik wodny sztuczny, kr¹g
pool resources | po³¹czyæ œrodki (dla osi¹gniêcia celu)
poop deck | pok³ad rufówki
poor (pue) | s³aby, kiepski, /biedny, ubogi/
poor-boy junk basket | kosz instmmentacyjny z kawa³ka rury ok³adzinowej
poor-boy separator (pue-boj ‘seperejie) | degazator wstêpnego od gazowania
poor performance (pue pe’fomens) | dzia³anie niezadowalaj¹ce
poor quality (pue ‘kuolyti) | s³aba jakoœæ, niska jakoœæ
poor visibility | s³aba widocznoœæ
poppet valve | zawór talerzowy (grzybkowy)
pore pressure | ciœnienie porowe
porosity | porowatoœæ
porous | porowaty
port | lewo (na statku), lewa burta, /port/, /otwór przelotowy/, /szczelina, okno/
portable drilling rig | przewoŸne urz¹dzenie wiertnicze (samojezdne)
portable (‘potebl) | przenoœny, przewoŸny, ruchomy
porthole=(=portlight) | iluminator okrêtowy
portion | udzia³, czêœæ
port side | lewa burta (strona)
position (po’zyszn) | po³o¿enie, pozycja, rozmieszczenie
positioning | ustawianie statku (np. wiertniczego) w ¿¹danym po³o¿eniu
positive choke | zwê¿ka sta³a (pozytywna)
positive pole | biegun dodatni
possible Cposybl) | mo¿liwy
possible reserves | zasoby prawdopodobne, zasoby przewidywane
possumbely tank (‘posembeli tenk)=(=trip tank) | zbiornik do zat³aczania otworu
post | s³up, podpora, stojak, /stanowisko, etat/
posted price | cena ropy ustalona przez OPEC
poster(pouste) | plakat (np. informacyjno-szkoleniowy bhp), afisz
pot life | dopuszczalny okres u¿ytkowania, ¿ywotnoœæ
potable water-(-drinking water) | woda pitna, woda do picia
potash | wêglan potasowy
potassium=(=K) | potas


pound (paund)=(=pound mass) | Cunt (jednostka masy) | 1 funl= 0,453592 kg)
pour in | wlewaæ, wsypywaæ	pour out | wylewaæ, wysypywaæ
powder (‘paude) | proszek
powder extinguisher (‘paude yk’stynguysze) | gaœnica proszkowa 
power | si³a czynna, moc, energia, /wyk³adnik potêgi, potêga/, /w³adza/ 
power brake (‘pale brejk) | hamulec ze wspomaganiem, serwohamulec. 
power consumption | pobór mocy
power feed | dostarczenie mocy, doprowadzenie energii, napêd 
power limit (paule ‘lymyt) | limit mocy 
powerfull=(=strong) | silny, mocny
power slips | automatyczne kliny do przewodu (zazwyczaj pneumatyczne)
power supply | zasilanie energi¹, Ÿród³o energii, zasilacz
power switch | wy³¹cznik zasilania, wy³¹cznik sieciowy
power swivel | górny napêd przewodu wiertniczego (z g³owic¹ p³uczkow¹)
power tong (‘pale tong) | klucz hydrauliczny do przewodu lub rur (ogólnie)
power unit | zespó³ napêdowy, samodzielna jednostka napêdowa
PPE =(=Personal Protective Equipment) | sprzêt ochrony osobistej (kombinezon, kask,
okulary, rêkawice ochronne, buty ochronne itp.)
